year,days_below_32
1950,114
1951,111
1952,89
1953,102
1954,115
1955,115
1956,124
1957,78
1958,87
1959,110
1960,83
1961,126
1962,95
1963,86
1964,114
1965,110
1966,132
1967,100
1968,96
1969,83
1973,126
1974,121
1975,140
1976,99
1977,110
1978,76
1979,84
1980,79
1981,62
1982,101
1983,64
1984,92
1985,109
1986,81
1987,77
1988,78
1989,104
1990,109
1991,93
1992,102
1993,70
1994,123
1995,100
1996,132
1997,77
1998,88
1999,113
2000,66
2001,100
2002,71
2003,76
2004,82
2005,73
2006,103
2007,100
2008,98
2009,89
2010,80
2011,92
2012,117
2013,104
2014,65
2015,78
2016,62
2017,117
2018,79
2019,59
